"Country.Name","Country.Code","Indicator.Name","Indicator.Code","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011"
"Finland","FIN","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD",0.392348055,0.409937765,0.426580284,0.478517249,0.4289469,0.338959471,0.378600606,0.334189042,0.279297469,NA,NA,NA
"Finland","FIN","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",10.07321632,10.87587548,11.74433248,13.21467044,12.80952903,10.4087491,12.54696362,12.0866947,10.63577891,NA,NA,NA
"Finland","FIN","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD",1.3188e+11,1.3745e+11,1.43418e+11,1.42871e+11,1.57307e+11,1.61839e+11,1.76181e+11,1.9136e+11,2.03382e+11,1.93598e+11,1.98866e+11,NA
"Finland","FIN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD",25480,26490,27580,27410,30090,30850,33450,36180,38280,36260,37070,NA
"France","FRA","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD",0.238422145,0.237040794,0.223143194,0.228734137,0.221261536,0.210580077,0.191888214,0.177051946,0.172042484,NA,NA,NA
"France","FRA","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",6.016236237,6.303891694,6.17168257,6.236447099,6.232061872,6.21934113,6.026119991,5.864108663,5.873141685,NA,NA,NA
"France","FRA","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD",1.55899e+12,1.65243e+12,1.71568e+12,1.70896e+12,1.78322e+12,1.88674e+12,2.02782e+12,2.15085e+12,2.22984e+12,2.20924e+12,2.25489e+12,NA
"France","FRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD",25660,27000,27830,27530,28520,29950,31970,33700,34740,34230,34750,NA
"Germany","DEU","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD",0.392903147,0.389145377,0.367044009,0.357157737,0.338312161,0.31550952,0.293786079,0.269124855,0.258102003,NA,NA,NA
"Germany","DEU","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",10.12146587,10.39171303,10.07303136,10.12499309,10.04071173,9.816930607,9.855743045,9.569344167,9.58054535,NA,NA,NA
"Germany","DEU","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD",2.09545e+12,2.17421e+12,2.23335e+12,2.31997e+12,2.46997e+12,2.59506e+12,2.8198e+12,2.97555e+12,3.08692e+12,3.014e+12,3.11539e+12,NA
"Germany","DEU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD",25490,26400,27070,28110,29930,31470,34230,36170,37590,36800,38100,NA
"Greece","GRC","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD",0.459857919,0.433889669,0.398339376,0.386042876,0.368072294,0.36497231,0.325573385,0.316668335,0.294385137,NA,NA,NA
"Greece","GRC","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",8.391708638,8.566748436,8.52509501,8.684892676,8.782539955,8.886492618,8.726363103,8.774711034,8.704524319,NA,NA,NA
"Greece","GRC","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD",2.00013e+11,2.17835e+11,2.36064e+11,2.46839e+11,2.62395e+11,2.6643e+11,2.92302e+11,3.01398e+11,3.21428e+11,3.23425e+11,3.12704e+11,NA
"Greece","GRC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD",18320,19890,21480,22390,23720,23990,26220,26930,28600,28670,27630,NA
"Norway","NOR","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD",0.239127486,0.245526622,0.222555229,0.244035301,0.218773558,0.192401208,0.176341112,0.170850895,0.170918142,NA,NA,NA
"Norway","NOR","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",8.641315111,9.103825621,8.247632796,9.337691559,9.291459327,9.163353767,9.495835691,9.539808326,10.48447741,NA,NA,NA
"Norway","NOR","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD",1.601e+11,1.67514e+11,1.68695e+11,1.75755e+11,1.95395e+11,2.21702e+11,2.51154e+11,2.62116e+11,2.91142e+11,2.65583e+11,2.86347e+11,NA
"Norway","NOR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD",35650,37110,37170,38500,42550,47950,53890,55660,61060,55000,58570,NA
"Spain","ESP","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD",0.342895027,0.323808046,0.316334283,0.308861933,0.306399651,0.297501427,0.261569752,0.247580765,0.217923872,NA,NA,NA
"Spain","ESP","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",7.312922172,7.314101178,7.613064084,7.644348101,7.95069319,8.144637203,7.93439235,7.982285769,7.228195009,NA,NA,NA
"Spain","ESP","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD",8.51462e+11,9.04945e+11,9.7926e+11,1.02755e+12,1.09305e+12,1.17134e+12,1.31595e+12,1.41303e+12,1.46886e+12,1.4507e+12,1.4652e+12,NA
"Spain","ESP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD",21150,22220,23700,24460,25600,26990,29830,31490,32240,31600,31800,NA
"United States","USA","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD",0.556875522,0.52667399,0.513476261,0.493430941,0.471017478,0.444792639,0.413519266,0.398823654,0.381971878,NA,NA,NA
"United States","USA","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",19.53626422,18.91409171,18.90591101,18.8610988,19.00170452,18.93415793,18.4823958,18.52907967,17.95831011,NA,NA,NA
"United States","USA","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD",1.00705e+13,1.03891e+13,1.06614e+13,1.11413e+13,1.19113e+13,1.27565e+13,1.36292e+13,1.40971e+13,1.43909e+13,1.39384e+13,1.46356e+13,NA
"United States","USA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD",35690,36460,37070,38400,40680,43170,45680,46800,47320,45440,47310,NA
"China","CHN","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD",1.140618837,1.054771522,1.007715214,1.098484971,1.133811181,1.079371025,1.02760595,0.925543259,0.855690328,NA,NA,NA
"China","CHN","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",2.696862433,2.742120813,2.885225041,3.512245428,4.080138906,4.441150695,4.892727098,5.153564017,5.308488782,NA,NA,NA
"China","CHN","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD",2.94885e+12,3.25861e+12,3.62827e+12,4.09979e+12,4.65556e+12,5.32598e+12,6.22972e+12,7.35456e+12,8.25e+12,9.15085e+12,1.02217e+13,NA
"China","CHN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD",2340,2560,2830,3180,3590,4090,4750,5580,6230,6870,7640,NA
"India","IND","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD",0.744851742,0.70224824,0.678631721,0.640543086,0.604296886,0.560575983,0.529678593,0.502191528,0.506238933,NA,NA,NA
"India","IND","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",1.125975267,1.123643845,1.126846564,1.159173629,1.19911514,1.237784694,1.300185514,1.373443384,1.463389787,NA,NA,NA
"India","IND","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD",1.57593e+12,1.69917e+12,1.79545e+12,1.98803e+12,2.21299e+12,2.49948e+12,2.81816e+12,3.19749e+12,3.42214e+12,3.80217e+12,4.15972e+12,NA
"India","IND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD",1500,1590,1650,1800,1970,2190,2440,2720,2870,3150,3400,NA
"Brazil","BRA","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD",0.269974641,0.268285926,0.253598583,0.237788711,0.22979647,0.221128593,0.207529641,0.198555837,0.197246767,NA,NA,NA
"Brazil","BRA","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",1.892645031,1.921640296,1.869525613,1.787962841,1.855443591,1.881677465,1.875638798,1.940844209,2.052903303,NA,NA,NA
"Brazil","BRA","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD",1.18879e+12,1.22264e+12,1.27527e+12,1.32142e+12,1.43993e+12,1.53725e+12,1.65675e+12,1.81703e+12,1.94635e+12,1.97623e+12,2.14489e+12,NA
"Brazil","BRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD",6820,6910,7110,7280,7830,8270,8810,9570,10160,10230,11000,NA
